country,points,price,province,variety,winery
US,97,85,Washington,Cabernet Sauvignon,Abeja
US,97,130,California,Cabernet Sauvignon,Alpha Omega
Italy,97,125,Tuscany,Sangiovese,Altesino
Italy,97,115,Tuscany,Red Blend,Antinori
US,97,90,California,Pinot Noir,Arista
US,97,120,California,Bordeaux-style Red Blend,Arkenstone
US,97,250,California,Cabernet Sauvignon,Au Sommet
Italy,97,170,Tuscany,White Blend,Avignonesi
US,97,55,Washington,Cabernet Sauvignon,Betz Family
US,97,60,Washington,Cabernet Sauvignon,Betz Family
US,97,68,Washington,Cabernet Sauvignon,Betz Family
US,97,85,California,Cabernet Sauvignon,Black Coyote
US,97,90,California,Bordeaux-style Red Blend,Blackbird Vineyards
Argentina,97,120,Mendoza Province,Malbec,Bodega Catena Zapata
Spain,97,88,Levante,Monastrell, Bodegas Gutierrez de la Vega 
Spain,97,250,Northern Spain,Tempranillo,Bodegas Roda
France,97,260,Champagne,Champagne Blend,Bollinger
US,97,275,California,Bordeaux-style Red Blend,BOND
US,97,55,Washington,Red Blend,Buty
Australia,97,85,Victoria,Muscat,Campbells
Australia,97,97,Victoria,Muscat,Campbells
Australia,97,85,Victoria,Tokay,Campbells
Italy,97,55,Tuscany,Sangiovese Grosso,Capanna
US,97,250,California,Cabernet Sauvignon,Cardinale
Italy,97,79,Tuscany,Sangiovese Grosso,Casanova di Neri
Italy,97,80,Tuscany,Sangiovese Grosso,Casanova di Neri
Italy,97,180,Tuscany,Merlot,Castello di Ama
US,97,130,California,Cabernet Sauvignon,Caymus
US,97,136,California,Cabernet Sauvignon,Caymus
US,97,80,Oregon,Cabernet Sauvignon,Cayuse
US,97,70,Oregon,Syrah,Cayuse
US,97,85,Oregon,Syrah,Cayuse
France,97,145,Bordeaux,Bordeaux-style Red Blend,Château Cos d'Estournel
France,97,90,Bordeaux,Bordeaux-style Red Blend,Château Figeac
France,97,330,Bordeaux,Bordeaux-style Red Blend,Château Haut-Brion
France,97,1100,Bordeaux,Bordeaux-style Red Blend,Château La Mission Haut-Brion
France,97,698,Bordeaux,Bordeaux-style White Blend,Château La Mission Haut-Brion
France,97,150,Bordeaux,Bordeaux-style Red Blend,Château Léoville Las Cases
France,97,190,Bordeaux,Bordeaux-style Red Blend,Château Léoville Las Cases
France,97,345,Bordeaux,Bordeaux-style Red Blend,Château Lafite Rothschild
France,97,660,Bordeaux,Bordeaux-style Red Blend,Château Latour
France,97,300,Bordeaux,Bordeaux-style Red Blend,Château Margaux
France,97,450,Bordeaux,Bordeaux-style Red Blend,Château Margaux
France,97,90,Bordeaux,Bordeaux-style White Blend,Château Suduiraut
France,97,170,Bordeaux,Bordeaux-style Red Blend,Château Troplong Mondot
Australia,97,300,Victoria,Muscadel,Chambers Rosewood Vineyards
US,97,120,Washington,Syrah,Charles Smith
US,97,85,California,Pinot Noir,Cobb
US,97,140,California,Bordeaux-style Red Blend,Continuum
US,97,175,California,Cabernet Sauvignon,Diamond Creek
France,97,281,Burgundy,Pinot Noir,Domaine Bruno Clair
France,97,100,Bordeaux,Bordeaux-style White Blend,Domaine de Chevalier
France,97,96,RhÃ´ne Valley,Syrah,Domaine Jamet
France,97,410,Burgundy,Chardonnay,Domaine Leflaive
France,97,430,Burgundy,Chardonnay,Domaine Leflaive
France,97,451,Burgundy,Chardonnay,Domaine Leflaive
France,97,550,Burgundy,Chardonnay,Domaine Leflaive
France,97,574,Burgundy,Chardonnay,Domaine Leflaive
France,97,269,Alsace,Pinot Gris,Domaine Zind-Humbrecht
Germany,97,250,Mosel-Saar-Ruwer,Riesling,Dr. Pauly Bergweiler
US,97,50,California,Chardonnay,Dutton-Goldfield
Spain,97,150,Northern Spain,Tinto Fino,Emilio Moro
Spain,97,180,Northern Spain,Tinto Fino,Emilio Moro
US,97,42,California,Chardonnay,Failla
US,97,60,California,Pinot Noir,Failla
US,97,70,California,Pinot Noir,Failla
Italy,97,100,Tuscany,Merlot,Fattoria Petrolo
US,97,70,California,Chardonnay,Flowers
Italy,97,210,Piedmont,Nebbiolo,Gaja
Italy,97,215,Piedmont,Nebbiolo,Gaja
US,97,190,California,Cabernet Sauvignon,Gandona
Germany,97,245,Pfalz,Riesling,Geh. Rat Dr. von Bassermann-Jordan
US,97,75,California,Pinot Noir,Goldeneye
US,97,85,California,Cabernet Sauvignon,Goldschmidt
US,97,150,California,Bordeaux-style Red Blend,Harlan Estate
France,97,185,Champagne,Champagne Blend,Henriot
US,97,100,California,Cabernet Sauvignon,Hestan
US,97,189,California,Sparkling Blend,Iron Horse
US,97,135,California,Cabernet Sauvignon,Janzen
US,97,130,California,Cabernet Sauvignon,Jarvis
US,97,150,California,Cabernet Sauvignon,JCB
France,97,639,Burgundy,Pinot Noir,Joseph Drouhin
US,97,200,California,Bordeaux-style Red Blend,Joseph Phelps
US,97,200,California,Bordeaux-style Red Blend,Joseph Phelps
US,97,225,California,Cabernet Sauvignon,Joseph Phelps
US,97,52,California,Pinot Noir,Joseph Swan Vineyards
US,97,70,Washington,Syrah,K Vintners
US,97,65,Oregon,Pinot Noir,Ken Wright
US,97,125,California,Bordeaux-style Red Blend,Kendall-Jackson
Austria,97,90,Burgenland,Chardonnay,Kracher
Austria,97,111,Burgenland,Chardonnay,Kracher
Austria,97,125,Burgenland,Scheurebe,Kracher
US,97,70,California,Cabernet Sauvignon,Krutz
US,97,65,California,Cabernet Sauvignon,Lancaster
Italy,97,130,Tuscany,Cabernet Franc,Le Macchiole
Italy,97,315,Tuscany,Merlot,Le Macchiole
Italy,97,160,Tuscany,Syrah,Le Macchiole
US,97,110,Washington,Cabernet Blend,Leonetti Cellar
US,97,85,Washington,Cabernet Sauvignon,Leonetti Cellar
US,97,88,Washington,Cabernet Sauvignon,Leonetti Cellar
Italy,97,90,Northeastern Italy,Picolit,Livio Felluga
France,97,330,Burgundy,Chardonnay,Louis Jadot
France,97,95,Burgundy,Pinot Noir,Louis Jadot
France,97,260,Burgundy,Pinot Noir,Louis Jadot
France,97,288,Burgundy,Pinot Noir,Louis Jadot
France,97,300,Burgundy,Pinot Noir,Louis Jadot
France,97,468,Burgundy,Pinot Noir,Louis Jadot
France,97,229,Champagne,Champagne Blend,Louis Roederer
France,97,249,Champagne,Champagne Blend,Louis Roederer
Italy,97,93,Tuscany,Sangiovese Grosso,Luce della Vite
